iter	Passed	Remaining
592	9305	15801
593	9322	15789
594	9342	15780
595	9361	15769
596	9379	15758
597	9397	15745
598	9414	15733
599	9432	15720
600	9450	15708
601	9468	15697
602	9486	15685
603	9504	15672
604	9520	15658
605	9538	15644
606	9555	15631
607	9572	15617
608	9588	15602
609	9605	15588
610	9621	15574
611	9638	15560
612	9654	15544
613	9670	15529
614	9687	15515
615	9703	15500
616	9720	15485
617	9736	15471
618	9752	15456
619	9770	15443
620	9788	15432
621	9805	15417
622	9820	15401
623	9838	15387
624	9854	15373
625	9871	15358
626	9887	15343
627	9903	15328
628	9920	15313
629	9938	15301
630	9957	15291
631	9974	15277
632	9991	15262
633	10007	15248
634	10023	15232
635	10044	15225
636	10063	15214
637	10083	15203
638	10104	15196
639	10123	15185
640	10141	15172
641	10157	15156
642	10173	15141
643	10189	15125
644	10204	15109
645	10221	15094
646	10236	15077
647	10253	15064
648	10269	15047
649	10284	15031
650	10301	15016
651	10317	15001
652	10333	14985
653	10349	14970
654	10365	14955
655	10381	14939
656	10398	14924
657	10415	14910
658	10431	14895
659	10447	14879
660	10463	14863
661	10479	14848
662	10495	14832
663	10511	14816
664	10526	14801
665	10543	14786
666	10559	14771
667	10576	14755
668	10592	14740
669	10608	14725
670	10624	14710
671	10642	14696
672	10658	14681
673	10675	14666
674	10691	14650
675	10707	14635
676	10723	14619
677	10739	14604
678	10754	14588
679	10770	14572
680	10787	14557
681	10804	14543
682	10821	14528
683	10840	14517
684	10857	14502
685	10873	14488
686	10890	14472
687	10906	14457
688	10925	14445
689	10942	14430
690	10957	14414
691	10973	14398
692	10989	14383
693	11006	14368
694	11022	14353
695	11038	14337
696	11054	14322
697	11071	14306
698	11088	14292
699	11104	14276
700	11121	14262
701	11136	14246
702	11152	14229
703	11168	14214
704	11184	14198
705	11200	14183
706	11217	14168
707	11233	14152
708	11250	14138
709	11266	14123
710	11282	14107
711	11298	14091
712	11314	14075
713	11330	14060
714	11347	14045
715	11362	14029
716	11379	14013
717	11395	13998
718	11413	13985
719	11429	13969
720	11445	13953
721	11461	13938
722	11479	13924
723	11496	13909
724	11512	13894
725	11528	13878
726	11545	13863
727	11560	13847
728	11576	13831
729	11592	13816
730	11611	13803
731	11627	13787
732	11643	13771
733	11659	13756
734	11675	13740
735	11692	13726
736	11708	13710
737	11724	13694
738	11740	13679
739	11756	13663
740	11771	13646
741	11788	13631
742	11804	13616
743	11821	13600
744	11837	13584
745	11852	13568
746	11868	13552
747	11884	13536
748	11900	13521
